time,gFx,gFy,gFz,TgF
2.288000,-0.7675,0.4540,0.5971,1.073
2.292000,-0.7934,0.4161,0.6159,1.087
2.297000,-0.8234,0.3775,0.6213,1.098
2.301000,-0.8540,0.3460,0.6152,1.108
2.308000,-0.8835,0.3136,0.5966,1.111
2.311000,-0.9052,0.2755,0.5749,1.107
2.316000,-0.9155,0.2547,0.5441,1.095
2.331000,-0.9021,0.2371,0.5073,1.062
2.331000,-0.8816,0.2227,0.4572,1.018
2.332000,-0.8674,0.2142,0.4045,0.981
2.336000,-0.8542,0.1968,0.3551,0.946
2.369000,-0.8459,0.1885,0.2963,0.916
2.370000,-0.8667,0.1751,0.2458,0.918
2.370000,-0.9157,0.1717,0.2020,0.953
2.371000,-0.9834,0.1597,0.1762,1.012
2.371000,-1.0598,0.1295,0.1622,1.080
2.372000,-1.1345,0.0728,0.1686,1.149
2.372000,-1.1875,-0.0048,0.1845,1.202
2.382000,-1.2239,-0.0949,0.1964,1.243
2.382000,-1.2776,-0.1735,0.2101,1.306
2.385000,-1.3465,-0.2353,0.2118,1.383
2.394000,-1.4177,-0.2883,0.1976,1.460
2.395000,-1.4744,-0.3408,0.1532,1.521
2.399000,-1.5179,-0.4067,0.0761,1.573
2.404000,-1.5572,-0.4878,-0.0367,1.632
2.409000,-1.5957,-0.5698,-0.1820,1.704
2.414000,-1.6409,-0.6338,-0.3439,1.792
2.420000,-1.6949,-0.6746,-0.5141,1.895
2.429000,-1.7398,-0.6975,-0.6899,1.997
2.429000,-1.7715,-0.7154,-0.8479,2.090
2.433000,-1.7838,-0.7193,-0.9834,2.160
2.455000,-1.7794,-0.7210,-1.1020,2.214
2.456000,-1.7786,-0.7119,-1.2009,2.261
2.457000,-1.7918,-0.6883,-1.2864,2.311
2.457000,-1.8043,-0.6631,-1.3560,2.352
2.458000,-1.7984,-0.6279,-1.4058,2.367
2.468000,-1.7737,-0.5986,-1.4444,2.364
2.469000,-1.7352,-0.5618,-1.4732,2.344
2.472000,-1.6834,-0.5103,-1.4890,2.305
2.476000,-1.6045,-0.4424,-1.4890,2.233
2.482000,-1.5113,-0.3606,-1.4854,2.149
2.487000,-1.3982,-0.2783,-1.4761,2.052
2.492000,-1.2683,-0.2004,-1.4742,1.955
2.497000,-1.1335,-0.1267,-1.4666,1.858
2.501000,-1.0151,-0.0561,-1.4595,1.779
2.508000,-0.9155,0.0203,-1.4602,1.724
2.511000,-0.8261,0.1107,-1.4790,1.698
2.516000,-0.7622,0.1968,-1.5354,1.725
2.522000,-0.7351,0.2603,-1.6302,1.807
2.527000,-0.7517,0.3079,-1.7601,1.938
2.531000,-0.7924,0.3656,-1.9303,2.118
2.535000,-0.8232,0.4610,-2.1378,2.337
2.543000,-0.8393,0.5775,-2.3776,2.587
2.557000,-0.8276,0.6835,-2.6354,2.846
2.558000,-0.7866,0.7714,-2.8950,3.097
2.558000,-0.6989,0.8263,-3.1301,3.312
2.559000,-0.5734,0.8720,-3.2976,3.459
2.565000,-0.4535,0.9455,-3.3867,3.545
2.570000,-0.3678,1.0807,-3.4038,3.590
2.575000,-0.3058,1.2726,-3.3772,3.622
2.580000,-0.2545,1.4726,-3.3374,3.657
2.585000,-0.1647,1.6340,-3.2656,3.655
2.590000,-0.0192,1.7463,-3.1359,3.589
2.594000,0.1657,1.8303,-2.9689,3.492
2.598000,0.3424,1.9168,-2.7392,3.361
2.603000,0.5073,2.0051,-2.4384,3.197
2.608000,0.6704,2.0635,-2.0658,2.996
2.613000,0.8300,2.1011,-1.6626,2.805
2.619000,0.9599,2.1267,-1.2315,2.638
2.627000,1.0434,2.1512,-0.7929,2.519
2.628000,1.0605,2.1892,-0.3593,2.459
2.632000,1.0188,2.2234,0.0541,2.446
2.637000,0.9699,2.2349,0.4560,2.479
2.663000,0.9221,2.2271,0.7946,2.538
2.663000,0.8552,2.1949,1.0305,2.571
2.664000,0.7683,2.1470,1.1521,2.555
2.664000,0.6887,2.0945,1.1626,2.493
2.664000,0.5966,2.0357,1.0720,2.377
2.667000,0.4789,1.9634,0.8977,2.211
2.673000,0.3441,1.8789,0.6899,2.031
2.678000,0.2116,1.7974,0.4889,1.875
2.682000,0.0824,1.7180,0.3324,1.752
2.687000,-0.0319,1.6506,0.1969,1.663
